Month,TB96805000
2016-01-01,8
2016-02-01,22
2016-03-01,37
2016-04-01,106
2016-05-01,313
2016-06-01,149
2016-07-01,135
2016-08-01,150
2016-09-01,101
2016-10-01,167
2016-11-01,0
2016-12-01,160
2017-01-01,112
2017-02-01,15
2017-03-01,23
2017-04-01,336
2017-05-01,309
2017-06-01,2
2017-07-01,8
2017-08-01,57
2017-09-01,605
2017-10-01,137
2017-11-01,350
2017-12-01,83
2018-01-01,362
2018-02-01,606
2018-03-01,162
2018-04-01,561
2018-05-01,306
2018-06-01,300
2018-07-01,233
2018-08-01,154
2018-09-01,205
2018-10-01,700
2018-11-01,7
2018-12-01,106
2019-01-01,199
2019-02-01,138
2019-03-01,9
2019-04-01,125
2019-05-01,690
2019-06-01,215
2019-07-01,1717
2019-08-01,407
2019-09-01,222
2019-10-01,71
2019-11-01,955
2019-12-01,66
2020-01-01,1202
2020-02-01,68
2020-03-01,12
2020-04-01,64
2020-05-01,63
2020-06-01,679
2020-07-01,1441
2020-08-01,7
2020-09-01,355
2020-10-01,4
2020-11-01,8
2020-12-01,1080
2021-01-01,0
2021-02-01,270
2021-03-01,738
2021-04-01,685
2021-05-01,706
2021-06-01,120
2021-07-01,0
2021-08-01,3127
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
